gene,n_studies,median_log2fc,direction_consistency,combined_p,significant_fraction,evidence_score,ad_dysregulated,label
OGDHL,3,-0.6352570067093737,1.0,0.0070655253462277,0.0,0.3176285033546868,1,1
P2RX7,3,0.528166356429534,1.0,0.0005700825823161,0.3333333333333333,0.440138630357945,1,1
PCTP,3,-0.0974069037881384,1.0,0.6573640441864028,0.0,0.0487034518940692,0,0
PDE10A,3,-0.5308423941319349,1.0,0.0003127953367866,0.3333333333333333,0.4423686617766124,1,1
PHF19,3,0.5515909931789547,1.0,0.0019455346129604,0.3333333333333333,0.4596591609824622,1,1
PHF20L1,3,-0.0852429442126183,0.6666666666666666,0.489477610643736,0.0,0.0284143147375394,0,0
PPEF1,3,-1.046326136212511,1.0,0.0007226113136796,0.3333333333333333,0.871938446843759,1,1
PPP2R2A,3,0.0049670887974286,0.6666666666666666,0.9846867995792664,0.0,0.0016556962658095,0,0
PREP,3,-0.5007703483369292,1.0,0.0006856007427762,0.0,0.2503851741684646,1,1
PRKX,3,0.6052423695383164,1.0,0.0001338531053882,0.3333333333333333,0.5043686412819304,1,1
PRPF40A,3,0.1498972321743368,0.6666666666666666,0.3618380571532882,0.0,0.0499657440581122,0,0
PTGS2,3,-0.6223322469133659,1.0,0.0062231209592895,0.0,0.3111661234566829,1,1
PTPN5,3,-0.5358324384316981,1.0,0.0054130173821505,0.0,0.267916219215849,1,1
PVALB,3,-0.1584702404503093,0.6666666666666666,0.4590302318952409,0.0,0.0528234134834364,0,0
RCE1,3,0.1151873231007059,0.6666666666666666,0.2767703297615322,0.0,0.0383957743669019,0,0
RFFL,3,0.5172226310226424,1.0,0.0077011942270294,0.0,0.2586113155113212,1,1
RFTN2,3,0.5427608855567154,1.0,0.0085455034509999,0.0,0.2713804427783577,1,1
RNF175,3,-0.0549260949971293,0.6666666666666666,0.5357472131719385,0.0,0.0183086983323764,0,0
RPH3A,3,-1.5832182897068794,1.0,5.157783410583074e-06,0.3333333333333333,1.3193485747557328,1,1
RPL27A,3,0.094278694598394,1.0,0.6593543396850199,0.0,0.047139347299197,0,0
RPL39,3,0.3016625674747875,0.6666666666666666,0.38971169936626,0.0,0.1005541891582624,0,0
RPL39L,3,0.096326588275351,0.6666666666666666,0.4806763657061342,0.0,0.0321088627584503,0,0
RPS6KA3,3,-0.0095408254406379,0.6666666666666666,0.1944181867576141,0.0,0.0031802751468793,0,0
RSPO1,3,-0.2867585789924392,0.6666666666666666,0.1348866756510757,0.0,0.0955861929974797,0,0
RTKN2,3,-0.5063942728010546,1.0,0.0092848893464303,0.0,0.2531971364005273,1,1
SCG2,3,-0.9040129035145216,1.0,0.0086170752917527,0.3333333333333333,0.7533440862621013,1,1
SELP,3,-0.1607260019792094,0.6666666666666666,0.0960114655964559,0.0,0.0535753339930697,0,0
SERPINA5,3,0.6606237518961269,1.0,0.0003055855104729,0.3333333333333333,0.5505197932467724,1,1
SERPINB13,3,-0.0007124701821133,0.6666666666666666,0.9633128075673087,0.0,0.0002374900607044,0,0
SHD,3,-0.5890737199722499,1.0,0.0017536129521315,0.0,0.2945368599861249,1,1
SLC12A7,3,-0.2103586782002651,0.6666666666666666,0.524746040162402,0.0,0.0701195594000883,0,0
SLC22A25,3,-0.2076277654464862,1.0,0.4327959479903244,0.0,0.1038138827232431,0,0
SLC25A12,3,-0.2639690378808597,0.6666666666666666,0.1530240406092286,0.0,0.0879896792936199,0,0
SLC29A2,3,0.3436544945808446,0.6666666666666666,0.1475515470691762,0.0,0.1145514981936148,0,0
SLC38A2,3,0.5004470268434797,1.0,0.0005295908253427,0.3333333333333333,0.4170391890362331,1,1
SNORA77,3,0.5813066196769257,1.0,0.0077744889276409,0.0,0.2906533098384628,1,1
SNORD46,3,0.4937675663860865,1.0,0.0872713607374298,0.0,0.2468837831930432,0,0
SPTLC2,3,0.3548382759507564,1.0,0.1134527618047252,0.0,0.1774191379753782,0,0
SRXN1,3,-0.05449007475619,0.6666666666666666,0.8592272158072236,0.0,0.0181633582520633,0,0
STAM2,3,0.1232325263592208,0.6666666666666666,0.0438553727825477,0.0,0.0410775087864069,0,0
TMED8,3,-0.0756838989595944,0.6666666666666666,0.1671059153087685,0.0,0.0252279663198648,0,0
TMEM100,3,-0.0153581069854069,0.6666666666666666,0.0417666527249686,0.0,0.0051193689951356,0,0
TMEM14A,3,-0.2329516714379376,0.6666666666666666,0.3994659264264427,0.0,0.0776505571459792,0,0
TMEM214,3,-0.0716658284480162,0.6666666666666666,0.6638558909403607,0.0,0.023888609482672,0,0
TRIM16L,3,0.1399582335185596,1.0,0.758696519348833,0.0,0.0699791167592798,0,0
TSPAN7,3,-0.7992562184751808,1.0,0.0074980355678867,0.0,0.3996281092375904,1,1
TSSK3,3,0.0854151126221194,1.0,0.0883352795172728,0.0,0.0427075563110597,0,0
TXNDC17,3,-0.0549003730654544,1.0,0.8599327774516292,0.0,0.0274501865327272,0,0
UHRF1,3,0.7388361900380738,1.0,0.0091661838123437,0.0,0.3694180950190369,1,1
VGF,3,-2.0929046703202907,1.0,5.939818476661909e-06,0.3333333333333333,1.7440872252669088,1,1
YWHAG,3,-0.5264359893082284,1.0,0.0057262155265269,0.0,0.2632179946541142,1,1
ZDHHC23,3,-0.8246868219390371,1.0,0.0091826008610947,0.0,0.4123434109695185,1,1
ZMIZ2,3,-0.0273322883168898,0.6666666666666666,0.981707288430211,0.0,0.0091107627722966,0,0
ZNF157,3,-0.1181699456162679,0.6666666666666666,0.5207934063431126,0.0,0.0393899818720892,0,0
ZNF219,3,-0.1285184098413974,0.6666666666666666,0.2502123302999082,0.0,0.0428394699471324,0,0
ZNF417,3,0.1325568570178896,1.0,0.1189940183504987,0.0,0.0662784285089448,0,0
ZNF652,3,0.6383090923877681,1.0,0.0075436531645047,0.3333333333333333,0.5319242436564734,1,1
