transcript_id,n_studies,median_log2fc,direction_consistency,combined_p,significant_fraction,evidence_score,ad_dysregulated
ACTR3BP4,1,0.0517230092775347,1.0,0.7608371764450019,0.0,0.02586150463876735,0
HCG9,3,-0.0775773175494933,0.6666666666666666,0.05286865056390297,0.0,0.0258591058498311,0
NPAS1,3,-0.0517161489583477,1.0,0.7156400614532159,0.0,0.02585807447917385,0
HMG4L,1,-0.0517114815168654,1.0,0.5243304344656698,0.0,0.0258557407584327,0
NPBWR2,2,-0.1034150088186856,0.5,0.629280289730723,0.0,0.0258537522046714,0
LOC101929241,1,-0.0516992842884766,1.0,0.151328422444421,0.0,0.0258496421442383,0
CHRNE,3,0.0516959735980293,1.0,0.9155376785025459,0.0,0.02584798679901465,0
TMEFF1,2,-0.10338914525582246,0.5,0.276572734322537,0.0,0.025847286313955616,0
CENTD1,1,0.0516875474925502,1.0,0.779068593317022,0.0,0.0258437737462751,0
DARS1,1,-0.0516811531233778,1.0,0.8697660913458685,0.0,0.0258405765616889,0
FPGT-TNNI3K,2,-0.05167951690200825,1.0,0.8901884263043288,0.0,0.025839758451004124,0
CNFN,2,-0.0516697630850217,1.0,0.8418683685404162,0.0,0.02583488154251085,0
THAP12P4,1,-0.0516693309471258,1.0,0.6736580455063883,0.0,0.0258346654735629,0
REPS2,3,-0.077502806428261,0.6666666666666666,0.544676654097489,0.0,0.025834268809420333,0
MTATP6P17,1,0.0516645077450082,1.0,0.7053249158456205,0.0,0.0258322538725041,0
CABYR,3,0.0464860113353982,0.6666666666666666,0.0015659666911593305,0.3333333333333333,0.025825561852998998,0
ZNF474,3,0.0774735487862619,0.6666666666666666,0.15401898399943226,0.0,0.025824516262087302,0
MAP3K5-AS1,1,-0.05164833096164,1.0,0.7633113570234074,0.0,0.02582416548082,0
FGD5,3,-0.0774706802919729,0.6666666666666666,0.5671416339096367,0.0,0.0258235600973243,0
ARL4A,3,-0.0774662680205304,0.6666666666666666,0.510668495332181,0.0,0.0258220893401768,0
NFYA,3,0.0516429239423592,1.0,0.057952889621686265,0.0,0.0258214619711796,0
DHDDS,3,-0.077446375873647,0.6666666666666666,0.7880571726241485,0.0,0.025815458624549,0
LOC101927089,1,-0.0516307443947334,1.0,0.8232400676750609,0.0,0.0258153721973667,0
EGFL11,1,-0.0516303452618667,1.0,0.5877006426815028,0.0,0.02581517263093335,0
DRAP1,3,-0.0774413519133867,0.6666666666666666,0.016946942061413856,0.0,0.0258137839711289,0
MROH2B,2,-0.051625391133608256,1.0,0.18798421995463824,0.0,0.025812695566804128,0
SLC36A4,3,0.0774208617478295,0.6666666666666666,0.8439054033968542,0.0,0.025806953915943166,0
MED28P7,1,0.0516135376862532,1.0,0.8444500290826558,0.0,0.0258067688431266,0
GTF2IP12,2,0.10321624072476189,0.5,0.10804887319830102,0.0,0.025804060181190473,0
INPP5B,3,0.0773890910341448,0.6666666666666666,0.6637067127716618,0.0,0.025796363678048266,0
RHBDD2,3,-0.077384596466608,0.6666666666666666,0.2553181115713727,0.0,0.025794865488869334,0
VENTXP7,2,-0.05158866396302235,1.0,0.784169018783196,0.0,0.025794331981511175,0
MAPRE2,3,-0.0773773480286834,0.6666666666666666,0.3131571000298135,0.0,0.025792449342894465,0
SSNA1,3,0.0773669847589446,0.6666666666666666,0.23441286296940364,0.0,0.0257889949196482,0
C20orf54,1,-0.0515661381857759,1.0,0.876004283485515,0.0,0.02578306909288795,0
PLXNA4-AS2,1,-0.0515509018436257,1.0,0.6412216122450694,0.0,0.02577545092181285,0
LOC554223,1,0.0515469527849116,1.0,0.31861229713494393,0.0,0.0257734763924558,0
BRD3,3,0.0773115050003703,0.6666666666666666,0.5643236520756376,0.0,0.0257705016667901,0
CASC6,1,0.051540620469412,1.0,0.2667219398029617,0.0,0.025770310234706,0
ANKRD13D,3,-0.0773024344107566,0.6666666666666666,0.6647362991619754,0.0,0.025767478136918865,0
CD46,3,0.0772869844064816,0.6666666666666666,0.9206698525475331,0.0,0.025762328135493867,0
LOC101929715,1,-0.0515221012324759,1.0,0.5613299730779187,0.0,0.02576105061623795,0
UBE2H,3,0.0772784265000394,0.6666666666666666,0.813432059686719,0.0,0.025759475500013132,0
PON1,3,0.0515103930591049,1.0,0.9298946100285338,0.0,0.02575519652955245,0
FTLP20,1,0.0514948657112964,1.0,0.6022163978143424,0.0,0.0257474328556482,0
NSD1,3,-0.0463425454751993,0.6666666666666666,0.0031695272968024542,0.3333333333333333,0.025745858597332943,0
MIR4454,1,-0.0514850389320129,1.0,0.37337681961668107,0.0,0.02574251946600645,0
THEM4,3,-0.0772219080495002,0.6666666666666666,0.6082008359208531,0.0,0.025740636016500066,0
IRS4,3,0.0772194774759893,0.6666666666666666,0.8955269904533404,0.0,0.025739825825329764,0
LINC00339,2,-0.05147798800410004,1.0,0.8675812489404996,0.0,0.02573899400205002,0
