study_id,transcript_id,log2fc,pvalue,padj,n_ad,n_control,ensembl_id
GSE53697,C17orf62,0.112864531303841,0.4701642120239083,0.9999543342423776,9,8,
GSE53697,C4orf15,0.0007803889115987,0.994996806161524,0.9999543342423776,9,8,
GSE53697,LRRC2,0.0147433671569325,0.964174615036781,0.9999543342423776,9,8,
GSE53697,FYCO1,0.0290090476448963,0.932911662994098,0.9999543342423776,9,8,
GSE53697,BIRC7,0.0111903528474097,0.905244129503755,0.9999543342423776,9,8,
GSE53697,WDR25,0.1044508782736342,0.2852565739597466,0.9999543342423776,9,8,
GSE53697,C16orf53,-0.056008624920115,0.8430356426555569,0.9999543342423776,9,8,
GSE53697,ULBP3,-0.0863507038167029,0.5751384682137094,0.9999543342423776,9,8,
GSE53697,DLEU2L,0.0860883270919963,0.6859928236400371,0.9999543342423776,9,8,
GSE53697,OR52N1,-0.1490427720025837,0.3796247303282815,0.9999543342423776,9,8,
GSE53697,OR2A4,-0.0147962678566972,0.7113415712090395,0.9999543342423776,9,8,
GSE53697,FAM65A,-0.048802314720258,0.7113553814411656,0.9999543342423776,9,8,
GSE53697,C2orf47,0.0911391119514384,0.4941788522925371,0.9999543342423776,9,8,
GSE53697,CARS2,-0.0388123754250671,0.7607866713002794,0.9999543342423776,9,8,
GSE53697,CHPF,0.0508103753438042,0.6319541191958697,0.9999543342423776,9,8,
GSE53697,CORO7,0.064189989471358,0.7791927538424419,0.9999543342423776,9,8,
GSE53697,FLJ22167,0.0609958634697687,0.4102043974820485,0.9999543342423776,9,8,
GSE53697,SPAG16,0.0567547931016196,0.4721377193108055,0.9999543342423776,9,8,
GSE53697,GPR172A,0.0559396105423548,0.7566219753543488,0.9999543342423776,9,8,
GSE53697,MRPL24,0.1873297145984498,0.204668937918961,0.9999543342423776,9,8,
GSE53697,CDC73,-0.0875193504879066,0.6204278549881648,0.9999543342423776,9,8,
GSE53697,ABHD8,0.0187749053297974,0.91186085774812,0.9999543342423776,9,8,
GSE53697,EPS8L3,0.2793203048791615,0.143580669643398,0.9999543342423776,9,8,
GSE53697,TTC13,-0.0179308314891217,0.817885487185997,0.9999543342423776,9,8,
GSE53697,ATP13A3,0.1749712422320266,0.3446608311379209,0.9999543342423776,9,8,
GSE53697,GCC1,0.0069507250816558,0.9460838622331172,0.9999543342423776,9,8,
GSE53697,NKAIN1,-0.1447277895822365,0.5934787752298686,0.9999543342423776,9,8,
GSE53697,NKAP,0.0650301517353675,0.598936579279651,0.9999543342423776,9,8,
GSE53697,ARMC7,0.053660890186467,0.6683713808005194,0.9999543342423776,9,8,
GSE53697,TRAPPC6A,0.1600782992204044,0.3310502216523413,0.9999543342423776,9,8,
GSE53697,ZNF426,-0.0567289490498135,0.6402171542039216,0.9999543342423776,9,8,
GSE53697,C8orf33,0.2152098511537037,0.1094076258277928,0.9999543342423776,9,8,
GSE53697,WNK4,-0.1006149238300351,0.5820074962646284,0.9999543342423776,9,8,
GSE53697,WNK3,-0.0741072423481838,0.3031957607600173,0.9999543342423776,9,8,
GSE53697,WNK2,0.0254811557674328,0.9278072308078512,0.9999543342423776,9,8,
GSE53697,STK33,0.119208315488132,0.5534247599269706,0.9999543342423776,9,8,
GSE53697,PLEKHA3,0.0567292454185324,0.7209552508434229,0.9999543342423776,9,8,
GSE53697,PHACTR4,-0.0408196099500157,0.9070618299988584,0.9999543342423776,9,8,
GSE53697,BRD9,-0.1085205726742604,0.6714607867330329,0.9999543342423776,9,8,
GSE53697,CAPRIN2,-0.1509371429904087,0.562753109287067,0.9999543342423776,9,8,
GSE53697,ZSCAN18,-0.0031367401288271,0.9697844677984564,0.9999543342423776,9,8,
GSE53697,GRAMD3,0.339105634367332,0.1073703246151967,0.9999543342423776,9,8,
GSE53697,AACS,-0.1630454771694847,0.4276537524410796,0.9999543342423776,9,8,
GSE53697,ZBTB10,0.0120748143790772,0.927143887638263,0.9999543342423776,9,8,
GSE53697,KCTD14,-0.1108062030896838,0.4116300650405973,0.9999543342423776,9,8,
GSE53697,UBE2Z,0.0673143229841546,0.6690392588005487,0.9999543342423776,9,8,
GSE53697,ZNF747,0.0934217362531684,0.3327402506933994,0.9999543342423776,9,8,
GSE53697,FAM173A,-0.2621318331947031,0.073596490790599,0.9999543342423776,9,8,
GSE53697,FUNDC2,-0.0476490679205126,0.8148586078003333,0.9999543342423776,9,8,
GSE53697,C20orf116,-0.2591759768833768,0.1711942926456441,0.9999543342423776,9,8,
GSE53697,MRPS34,-0.0957293448301599,0.477110477957177,0.9999543342423776,9,8,
GSE53697,RASL11B,0.3399309745415415,0.4468347899858548,0.9999543342423776,9,8,
GSE53697,LRRC61,0.1369840071100549,0.3951327738093005,0.9999543342423776,9,8,
GSE53697,TMEM108,-0.0903366664012863,0.5424948305368376,0.9999543342423776,9,8,
GSE53697,CYP4F12,0.0137923397804424,0.964970501050846,0.9999543342423776,9,8,
GSE53697,LYNX1,-0.121280901911164,0.3887244642102994,0.9999543342423776,9,8,
GSE53697,CHID1,-0.044428742197577,0.6709304852671074,0.9999543342423776,9,8,
GSE53697,TRAK2,-0.0726915049218401,0.6908670878735217,0.9999543342423776,9,8,
GSE53697,SLC2A11,-0.0348722057972032,0.7738837270737172,0.9999543342423776,9,8,
GSE53697,MTMR9,0.1478783731812551,0.5108696265656377,0.9999543342423776,9,8,
GSE53697,BOLL,-0.1626016095992547,0.2822355478351566,0.9999543342423776,9,8,
GSE53697,DLK2,-0.045320385956646,0.7108028083733471,0.9999543342423776,9,8,
GSE53697,PYCRL,-0.0168447488417027,0.924659141938492,0.9999543342423776,9,8,
GSE53697,C1orf163,0.0652480951466119,0.7097158205375882,0.9999543342423776,9,8,
GSE53697,MPPE1,0.2111935616188418,0.2618853280114954,0.9999543342423776,9,8,
GSE53697,SLC26A6,0.0135859563021614,0.9679340912120432,0.9999543342423776,9,8,
